BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,comments,page number on schematic,part added to library?,Link to part,Link to datasheet
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H470JZ01D,,MONOLITHIC CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://uk.farnell.com/murata/grm1555c1h470jz01d/cap-47pf-50v-5-c0g-np0-0402/dp/8819670?CMP=GRHB-SF-FC,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA9/2551521.pdf
1,true,true,false,false,false,0,10022907,SMD FERRITE 200MA,B        ECO-R252636,2,Each,Production,,"FI2,FI3",,,,,,Part,BDRM,,1,,,true,false,WURTH ELEKTRONIK GMBH,74279266,,MULTILAYER-SMD-FERRITE,Active,Preferred,,ROHS EXEMPT : 7(C)-1,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/wurth-elektronik/74279266/ferrite-bead-1k-0-2a-0603/dp/24AC5680?CMP=AFC-SF-FC,https://www.we-online.fr/catalog/datasheet/74279266.pdf
1,true,true,true,false,false,0,10023418,"CONNECTOR, 10 CONTACTS, HE10",A        ECO-R252633,1,Each,Production,,J1,,,,,,Part,BDRM,,1,,,true,false,HARTING,09185107323,,CONNECTOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.mouser.ca/ProductDetail/HARTING/09185107323?utm_term=09185107323&qs=6AJYfC4azSgf3GnvunlXQw==&utm_campaign=09185107323&utm_medium=aggregator&utm_source=findchips&utm_content=HARTING,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA22/2091831.pdf
1,true,true,false,false,false,0,10023419,"CONNECTOR, 1 CONTACTS, TEST PROBE",A        ECO-R252636,1,Each,Production,,J6,,,,,,Part,BDRM,,1,,,true,false,INGUN,GKS-913 305 230 A 15 02 S,,TEST PROBE,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,Find Source. Ingun distributes the product directly. TODO: Contact Ingun US for a quote,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,INGUN,GKS-913-0024,,,,,,,,,Same part alternate part numbering,,,,
1,true,true,false,false,false,0,10023420,"CONNECTOR, 2 CONTACTS, PIN SPACE 2.54, SM",B        ECO-R252636,3,Each,Production,,"J3,J4,J5",,,,,,Part,BDRM,,1,,,true,false,PRECI-DIP                       (015220),811-S1-002-30-014101,,,Active,Preferred,,ROHS EXEMPTION: 6(C),Yes - by exemption,Legacy Inventory Status: Cleared,Active but Low Stock. TODO: contact small distributors in the US to check stocks,,,https://www.digikey.ca/product-detail/en/preci-dip/811-S1-002-30-014101/1212-1516-ND/4130760?utm_campaign=buynow&utm_medium=aggregator&WT.z_cid=ref_findchips_standard&utm_source=findchips,https://datasheet.datasheetarchive.com/originals/dk/DKDS-18/351118.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 parts in stock,,,https://abstractelec.com/search-results/?part=811-S1-002-30-014101&Submit1=Search,
1,true,true,true,false,false,0,10096506,"PRINTED CIRCUIT, BATTERY BOARD",A        MC002637,1,Each,Production,,,,,,,,Part,BDRM,,1,,,true,false,TTM,10096506,,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,,
1,true,false,true,false,false,0,4096600.E01.001,BATTERY CONNECTION BOARD SCH,02        ECO-R256396,1,,Production,,,,,,,,Document,BDRM,,1,,,,,,,,,,,,,,,,,,,
1,true,true,true,false,false,1,3838600,PC BOARD TRACABILITY LABEL,C        ECO-R252633,1,Each,Production,,,,,,,,Part,BDRM,,1,,,true,false,BRADY_RMS1,3838600-H,,"B-727 LABEL, POLYIMIDE, GLOSSY WHITE THERMAL TRANSFER PRINTABLE LABEL STOCK",Active,Preferred,,CUSTOM LABEL PER COVIDIEN DRAWING 3838600,Yes,Legacy Inventory Status: Cleared,,,,,
