BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,comments,page number on schematic,part added to library?,Link to part,Link to datasheet,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement
,,,,,,,,,,,,,,C106,,,,,,,,,,,,true,false,"ELNA AMERICA, INC.",RVZ-16V221MG68U,,"CHIP TYPE, LOW IMPEDANCE CAP.",check availability,,,,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,false,true,false,false,false,0,10022978,"CAPACITOR TANTALUM,10UF, 50V,+/-10%",D        EC074855,1,Each,Production,,C117,,,,,,Part,CBRM,,1,,,true,false,AVX CORPORATION,TAJD106K050RNJ,,"CAPACITOR TANTALUM,10UF, 50V,+/-10%",,6,Y,https://www.digikey.com/product-detail/en/avx-corporation/TAJD106K050RNJ/478-2380-1-ND/678548,http://datasheets.avx.com/TAJ.pdf,Active,Preferred,,,Yes,Cleared
1,true,true,false,false,false,0,10022623,"CAPACITOR,47 PF,+/-5%,50V,0402",C        ECO-R252636,4,Each,Production,,"C12,C13,C15,C86",,,,,,Part,CBRM,,1,,,true,false,SAMSUNG_RMS1,CL05C470JB5NNNC,,CAP CER 47PF 50V 5% NP0 0402,,,,https://www.futureelectronics.com/p/8350803?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C12,C13,C15,C86",,,,,,,,,,,,true,false,KEMET_RMS1,C0402C470J5GACTU,,"CAP,CER,SMT,0402,5%,50V,47PF",,,,https://canada.newark.com/kemet/c0402c470j5gactu/multilayer-ceramic-capacitor-c/dp/36X2589?CMP=AFC-SF-FC,,Active,Preferred,,TAPE & REEL,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C12,C13,C15,C86",,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H470JZ01D,,MONOLITHIC CERAMIC CAPACITOR,,,,https://uk.farnell.com/murata/grm1555c1h470jz01d/cap-47pf-50v-5-c0g-np0-0402/dp/8819670?CMP=GRHB-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C12,C13,C15,C86",,,,,,,,,,,,true,false,KEMET_RMS1,C0402C470J5GAC,,"CAP,CER,SMT,0402,5%,50V,47PF",,,,https://www.arrow.com/en/products/c0402c470j5gac/kemet-corporation?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C12,C13,C15,C86",,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H470JA01D,,CAP CER 47PF 50V 5% NP0 0402,,,,https://www.futureelectronics.com/p/3109877?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,true,false,false,0,10095973,"CAPACITOR ARRAY, 47PF, 50V, +/-10%,NPO,0612",A        ECO-R252633,11,Each,Production,,"C14,C17,C18,C38,C41,C52,C55,C56,C58,C100,C111",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CA0612JRNPO9BN470,225514611532,"ISOLATED C NETWORK, 50V, C0G, 0.000047UF, SURFACE MOUNT, CHIP-8",need alternate,,,https://www.avnet.com/shop/us/products/yageo/ca0612jrnpo9bn470-3074457345639885215?CMP=EMA_FindChips_inventoryfeed_VSE,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
1,false,true,false,false,false,0,10022962,"CAPACITOR TANALUM, 47UF, 10V +/-10%",C        EC074855,2,Each,Production,,"C19,C75",,,,,,Part,CBRM,,1,,,true,false,KEMET,T495B476K010ATE500,,"Cap, Tantalum, Polarized, 10V, 10% +/-Tol, 47uF, Surface Mount, Case B, EIA Metric 3528",,,,https://www.mouser.ca/ProductDetail/KEMET/T495B476K010ATE500?utm_term=T495B476K010ATE500&qs=oc52yH%252bc6pXtFCB7naPMIA==&utm_campaign=T495B476K010ATE500&utm_medium=aggregator&utm_source=findchips&utm_content=KEMET,,Active,Preferred,,,Yes,Cleared
1,true,true,false,false,false,0,10022607,"CAPACITOR,100NF,16V,+/-10%,X7R,0402",D        EC113997,45,Each,Production,,"C2,C4,C5,C9,C10,C11,C20,C22,C23,C24,C25,C26,C27,C28,C29,C30,C33,C36,C37,C42,C44,C49,C51,C60,C63,C66,C70,C74,C76,C77,C78,C80,C83,C87,C90,C91,C93,C95,C98,C103,C107,C110,C116,C120,C140",,,,,,Part,CBRM,,1,,,true,false,MURATA,GRM155R71C104JA88J,,"CAPACITOR, CERAMIC, MULTILAYER, 16V, X7R, 0.1UF, 0402",,6,Y,https://www.digikey.com/products/en?keywords=GRM155R71C104JA88J,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104JA88-01.pdf,Active,Preferred,,,Yes,CLEARED
