BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,comments,page number on schematic,part added to library?,Link to part,Link to datasheet,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement
,,,,,,,,,,,,,,"C54,C112,C114",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805ZRY5V7BB105,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, Y5V, 1 UF, SURFACE MOUNT, 0805",,,,https://www.futureelectronics.com/p/8518342?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C54,C112,C114",,,,,,,,,,,,true,false,MURATA_RMS1,GRM216B31C105KA87D,,MONOLITHIC CERAMIC CAPACITOR,,,,https://www.futureelectronics.com/p/8518342?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022968,"CAP CERAMIC,220NF,25V,X7R,+/-10%,0805",B        ECO-R252636,4,Each,Production,,"C59,C65,C94,C102",,,,,,Part,CBRM,,1,,,true,false,AVX_RMS1,08053C224KAZ2A,,SMT MULTILAYER CAPACITOR,,,,https://www.arrow.com/en/products/08053c224kaz2a/avx?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C59,C65,C94,C102",,,,,,,,,,,,true,false,KEMET_RMS1,C0805C224K3RAC,,CERAMIC CHIP CAPACITOR,,,,https://www.arrow.com/en/products/c0805c224k3rac/kemet-corporation?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C59,C65,C94,C102",,,,,,,,,,,,true,false,AVX_RMS1,08053C224KAT2A,,X7R DIELECTRIC,,,,https://canada.newark.com/avx/08053c224kat2a/smd-multilayer-ceramic-capacitor/dp/04X9372?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C59,C65,C94,C102",,,,,,,,,,,,true,false,KEMET_RMS1,C0805C224K3RACTU,,CERAMIC CHIP CAPACITOR,,,,https://canada.newark.com/kemet/c0805c224k3ractu/mlcc-capacitor-0-22uf-25v-x7r/dp/26H0849?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,true,false,false,0,10022510,"CAPACITOR,330NF,+/-10%,16V,0805,X7R",C        ECO-R252633,1,Each,Production,,C6,,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0805JKX7R7BB334,222278015556,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",need alternate,,,https://www.mouser.ca/ProductDetail/Yageo/CC0805JKX7R7BB334?utm_term=CC0805JKX7R7BB334&qs=7s%252b3O6pAiyDaZQxLGZmmxw==&utm_campaign=CC0805JKX7R7BB334&utm_medium=aggregator&utm_source=findchips&utm_content=Yageo,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C6,,,,,,,,,,,,true,false,AVX_RMS1,0805YC334KAT2A,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",,,,https://www.futureelectronics.com/fr/p/capacitors--ceramic-capacitors--multilayer-ceramic-capacitors/0805yc334kat2a-avx-2812303,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C6,,,,,,,,,,,,true,false,KEMET_RMS1,C0805C334K4RACTU,,CERAMIC SURFACE MOUNT - X7R DIELECTRIC,,,,https://canada.newark.com/kemet/c0805c334k4ractu/mlcc-capacitor-0-33uf-16v-x7r/dp/79H0577?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C6,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805KKX7R7BB334,222278015656,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",,,,https://www.arrow.com/en/products/cc0805kkx7r7bb334/yageo?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C6,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0805KKX7R7BB334,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",,,,https://www.arrow.com/en/products/cc0805kkx7r7bb334/yageo?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022613,"CAPACITOR CERAMIC,4.7NF,+/-10%,50V,0603",C        ECO-R252636,6,Each,Production,,"C61,C64,C68,C71,C96,C104",,,,,,Part,CBRM,,1,,,true,false,KEMET_RMS1,C0603C472K5RACTU,,CAP 4700PF 50V CERAMIC X7R 0603,,,,https://canada.newark.com/kemet/c0603c472k5ractu/ceramic-capacitor-4700pf-50v-x7r/dp/20C2663?CMP=AFC-SF-FC,,Active,Alternate,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C61,C64,C68,C71,C96,C104",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB472,,,,,,https://canada.newark.com/yageo/cc0603krx7r9bb472/ceramic-capacitor-4700pf-50v-x7r/dp/65R8280?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,false,true,false,false,false,0,10022959,"CAPACITOR TANTALUM, 1UF,35V, +/-10%",D        EC074855,5,Each,Production,,"C7,C8,C31,C32,C34",,,,,,Part,CBRM,,1,,,true,false,KEMET,T491A105M035AT,,"Cap, Tantalum, Polarized, 35V, 20% +/-Tol, 1uF, Surface Mount, 1206 (Case A), EIA Metric 3216",,,,https://canada.newark.com/kemet/t491a105m035at/cap-1-f-35v-20/dp/42AC0187?CMP=AFC-SF-FC,https://4donline.ihs.com/images/VipMasterIC/IC/KEME/KEME-S-A0006487387/KEME-S-A0006487387-1.pdf?hkey=52A5661711E402568146F3353EA87419,Active,Alternate,,,Yes,Cleared
,,,,,,,,,,,,,,"C7,C8,C31,C32,C34",,,,,,,,,,,,true,false,KEMET,T495A105K035ATE3K0,,"Cap, Tantalum, Polarized, 35V, 10% +/-Tol, 1uF, Surface Mount, 1206 (Case A), EIA Metric 3216",,,,https://www.mouser.ca/ProductDetail/KEMET/T495A105K035ATE3K0?utm_term=T495A105K035ATE3K0&qs=F4vAmCFCeaszeOVrzinXXw==&utm_campaign=T495A105K035ATE3K0&utm_medium=aggregator&utm_source=findchips&utm_content=KEMET,,Active,Preferred,,,Yes,Cleared
1,false,true,false,false,false,0,10022608,"CAPACITOR TANTALUM, 10UF, 25V, +/-10%",D        EC074855,3,Each,Production,,"C81,C85,C108",,,,,,Part,CBRM,,1,,,true,false,KEMET,T491C106K025AT,,"Cap, Tantalum, Polarized, 25V, 10% +/-Tol, 10uF, Surface Mount, 2312 (Case C), EIA Metric 6032",,6,Y,https://www.digikey.com/product-detail/en/kemet/T491C106K025AT/399-3734-1-ND/819059,https://api.kemet.com/component-edge/download/datasheet/T491C106K025AT.pdf,Active,Alternate,,,Yes,Cleared
,,,,,,,,,,,,,,"C81,C85,C108",,,,,,,,,,,,true,false,KEMET,T495C106K025ATE275,,"Cap, Tantalum, Polarized, 25V, 10% +/-Tol, 10uF, Surface Mount, 2312 (Case C), EIA Metric 6032",,,,https://canada.newark.com/kemet/t495c106k025ate275/cap-10uf-25v-10-6-x-3-2-x-2-5mm/dp/33AH2080?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Cleared
1,true,true,false,false,false,0,10022971,"CAPACITOR CERAMIC, 1NF,50V,+/-10%, 0402",C        ECO-R252636,1,Each,Production,,C84,,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0402KRX7R9BB102,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.001 UF, SURFACE MOUNT, 0402",,,,https://canada.newark.com/yageo/cc0402krx7r9bb102/ceramic-capacitor-1000pf-50v-x7r/dp/65R7702?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C84,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0402KRX7R9BB102,223858715623,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.001 UF, SURFACE MOUNT, 0402",,,,https://canada.newark.com/yageo/cc0402krx7r9bb102/ceramic-capacitor-1000pf-50v-x7r/dp/65R7702?CMP=AFC-SF-FC,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C84,,,,,,,,,,,,true,false,KEMET_RMS1,C0402C102K5RACTU,,"CAP, CER, 0.001UF, 50V, 10%, X7R, 0402",,,,https://canada.newark.com/kemet/c0402c102k5ractu/ceramic-capacitor-1000pf-50v-x7r/dp/07J4432?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C84,,,,,,,,,,,,true,false,YAGEO_RMS1,CC0402JRX7R9BB102,223858715523,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.001 UF, SURFACE MOUNT, 0402",,,,https://www.futureelectronics.com/p/1449792?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10097252,"CAPACITOR ELECTROLYTIC, 1000UF,35V,+/-20%",A        ECO-R252636,1,Each,Production,,C88,,,,,,Part,CBRM,,1,,,true,false,"ILLINOIS CAPACITOR, INC.",108TTA035M,,,,,,https://www.arrow.com/en/products/108tta035m/cornell-dubilier-electronics?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,false,true,false,false,false,0,10022973,"CAPACITOR TANTALUM, 22UF, 10V,+/-10%",C        EC074855,2,Each,Production,,"C89,C92",,,,,,Part,CBRM,,1,,,true,false,KEMET,T495A226K010ATE1K2,,"Cap, Tantalum, Polarized, 10V, 10% +/-Tol, 22uF, Surface Mount, Case A, EIA Metric 3216",,6,Y,https://www.digikey.com/products/en?keywords=T495A226K010ATE1K2,https://api.kemet.com/component-edge/download/datasheet/T495A226K010ATE1K2.pdf,Active,Preferred,,,Yes,Cleared
1,true,true,false,false,false,0,10022975,"CAPACITOR CERAMIC, 150PF,50V,+/-5,NPO, 0402",C        ECO-R252636,6,Each,Production,,"C99,C115,C121,C122,C123,C124",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0402JRNPO9BN151,,CAP CER 150PF 50V C0G/NPO 0402,,,,https://www.futureelectronics.com/p/1733575?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Cleared
,,,,,,,,,,,,,,"C99,C115,C121,C122,C123,C124",,,,,,,,,,,,true,false,KEMET_RMS1,C0402C151J5GACTU,,CERAMIC CHIP CAPACITOR,,,,https://canada.newark.com/kemet/c0402c151j5gactu/cap-mlcc-c0g-150pf-50v-0402-reel/dp/86K0554?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C99,C115,C121,C122,C123,C124",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0402JRNPO9BN151,223886915151,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.00015 UF, SURFACE MOUNT, 0402",,,,https://www.futureelectronics.com/p/1733575?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022656,"DIODE SCHOTTKY, 3A, 40V",B        ECO-R252636,1,Each,Production,,D11,,,,,,Part,CBRM,,1,,,true,false,STMICROELECTRONICS,STPS340U,,POWER SCHOTTKY RECTIFIER,,,,https://www.avnet.com/shop/us/products/stmicroelectronics/stps340u-3074457345626086667?CMP=EMA_FindChips_inventoryfeed_VSE,,Active,Preferred,,ROHS EXEMPT: 7(A),Yes - by exemption,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10020994,"DIODE ZENER, 500MW, 12V, SOD-80C",C        ECO-R252636,1,Each,Production,,D12,,,,,,Part,CBRM,,1,,,true,false,NXP SEMICONDUCTORS_RMS1,"BZV55-C12,115",,,,,,https://www.avnet.com/shop/us/products/nexperia/bzv55-c12-115-3074457345629891838?CMP=EMA_FindChips_inventoryfeed_VSE,,Active,Preferred,,ROHS EXEMPT : 7(C)1 AND 5 (A),Yes - by exemption,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,D12,,,,,,,,,,,,true,false,NXP SEMICONDUCTORS_RMS1,BZV55-C12,,VOLTAGE REGULATOR DIODE,,,,https://www.avnet.com/shop/us/products/nexperia/bzv55-c12-3074457345643112949?CMP=EMA_FindChips_inventoryfeed_VSE,,Active,Preferred,,ROHS EXEMPT : 7(C)1 AND 5 (A),Yes - by exemption,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022653,"DIODE SCHOTTKY DOUBLE,30V, 200MA,SOT23",C        ECO-R252636,1,Each,Production,,D14,,,,,,Part,CBRM,,1,,,true,false,NXP SEMICONDUCTORS_RMS1,"BAT54C,215",,,,,,https://www.avnet.com/shop/us/products/nexperia/bat54c-215-3074457345627006342?CMP=EMA_FindChips_inventoryfeed_VSE,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,D14,,,,,,,,,,,,true,false,NXP SEMICONDUCTORS_RMS1,BAT54C,,SCHOTTKY BARRIER DOUBLE DIODE,,,,https://www.arrow.com/en/products/bat54c/good-ark-semiconductor?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022654,"DIODE TRANSIENT 600W,36V",C        EC093850,1,Each,Production,,D4,,,,,,Part,CBRM,,1,,,true,false,LITTLEFUSE,1SMB36AT3G,,ZENER TRANSIENT VOLTAGE SUPPRESSORS,,,,https://uk.farnell.com/on-semiconductor/1smb36at3g/tvs-diode-600w-36v-smb/dp/1150536?CMP=GRHB-SF-FC,,Active,Preferred,,,Yes - by exemption,Cleared - Exemption 7a
,,,,,,,,,,,,,,D4,,,,,,,,,,,,true,false,ON SEMICONDUCTOR_RMS1,1SMB36AT3G,,ZENER TRANSIENT VOLTAGE SUPPRESSORS,,,,https://uk.farnell.com/on-semiconductor/1smb36at3g/tvs-diode-600w-36v-smb/dp/1150536?CMP=GRHB-SF-FC,,Active,Preferred,,ROHS EXEMPT : 7(A),Yes - by exemption,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,D4,,,,,,,,,,,,true,false,LITTLEFUSE,SZ1SMB36AT3G,,ZENER TRANSIENT VOLTAGE SUPPRESSORS,,,,https://www.arrow.com/en/products/sz1smb36at3g/littelfuse?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Cleared
1,true,true,false,false,false,0,10097253,"DIODE SCHOTTKY, 40V, 1A",A        ECO-R252636,4,Each,Production,,"D6,D7,D15,D16",,,,,,Part,CBRM,,1,,,true,false,DIODES INC_RMS1,1N5819HW-7-F,,SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER,,6,,https://www.digikey.com/product-detail/en/diodes-incorporated/1N5819HW-7-F/1N5819HW-FDICT-ND/815283,https://www.diodes.com/assets/Datasheets/ds30217.pdf,Active,Preferred,,ROHS EXEMPT: 7(A),Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022655,"DIODE ZENER, 0.35W,4.7V",C        ECO-R252636,1,Each,Production,,D8,,,,,,Part,CBRM,,1,,,true,false,NXP SEMICONDUCTORS_RMS1,BZX84-C4V7,,VOLTAGE REGULATOR DIODE,,,,https://uk.farnell.com/on-semiconductor/bzx84-c4v7/diode-zener-4-7v-0-35w/dp/9844384?CMP=GRHB-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,D8,,,,,,,,,,,,true,false,NXP SEMICONDUCTORS_RMS1,"BZX84-C4V7,215",,,,,,https://www.avnet.com/shop/us/products/nexperia/bzx84-c4v7-215-3074457345629891889?CMP=EMA_FindChips_inventoryfeed_VSE,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022652,"DIODE SCHOTTKY, 30V, 200MA",C        ECO-R252636,3,Each,Production,,"D9,D10,D13",,,,,,Part,CBRM,,1,,,true,false,NXP SEMICONDUCTORS_RMS1,"BAT54,215",,,,,,"https://www.chip1stop.com/USA/en/product/detail?utm_term=BAT54,215&partId=NXP1-0052195&utm_campaign=c1s_findchips_2019&utm_medium=aggregator&cid=NXP1-0052195&utm_source=findchips&utm_content=inv_listing",,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"D9,D10,D13",,,,,,,,,,,,true,false,NXP SEMICONDUCTORS_RMS1,BAT54,,SCHOTTKY BARRIER DOUBLE DIODE,,,,https://www.mouser.ca/ProductDetail/Rectron/BAT54?utm_term=BAT54&qs=7pEAo90IqNGfz6H44jcxUA==&utm_campaign=BAT54&utm_medium=aggregator&utm_source=findchips&utm_content=Rectron,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10023295,FLAT FERRITE CORE,B        ECO-R252636,1,Each,Production,,FER1,,,,,,Part,CBRM,,1,,,true,false,WURTH ELEKTRONIK GMBH,7427221,,FLAT FERRITE CORE,,,,https://www.mouser.ca/ProductDetail/Wurth-Elektronik/7427221?utm_term=7427221&qs=cFlH0mFHHFrysiakmVki%252bA==&utm_campaign=7427221&utm_medium=aggregator&utm_source=findchips&utm_content=Wurth-Elektronik,,Active,Preferred,,ROHS EXEMPTION:-7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022703,"FUSE, 500MA",B        ECO-R252636,1,Each,Production,,FU2,,,,,,Part,CBRM,,1,,,true,false,LITTELFUSE_RMS1,0154.500DRT,,VERY FAST ACTING FUSE,,,,https://www.arrow.com/en/products/0154.500drt/littelfuse?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,ROHS EXEMPT 7(A),Yes - by exemption,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022884,"LITHIUM, 3V, 35MAH",C        ECO-R252636,1,Each,Production,,G1,,,,,,Part,CBRM,,1,,,true,false,SONY_RMS1,CR1220-B1A,,COIN CELL BATTERY,need alternate?,,,,,Active,Preferred,,ROHS OUT OF SCOPE.NO ROHS EVIDENCE REQUIRED.,N/A,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,G1,,,,,,,,,,,,true,false,MAXELL,CR1220,,,,,,https://www.mouser.ca/ProductDetail/Panasonic-Battery/CR1220?utm_term=CR1220&qs=1eQvB6Dk1vgkC%252bd1qU6JFA==&utm_campaign=CR1220&utm_medium=aggregator&utm_source=findchips&utm_content=Panasonic,,Active,Preferred,,ROHS OUT OF SCOPE.NO ROHS EVIDENCE REQUIRED.,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,G1,,,,,,,,,,,,true,false,VARTA                           (917650),CR 1220,,BATTERY,,,,,,Active,Preferred,,ROHS OUT OF SCOPE.NO ROHS EVIDENCE REQUIRED.,N/A,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022505,"UART, LQFP64",B        ECO-R252636,1,Each,Production,,IC1,,,,,,Part,CBRM,,1,,,true,false,TEXAS INSTRUMENTS_RMS1,TL16C750IPM,,UART,,,,https://www.digikey.ca/product-detail/en/texas-instruments/TL16C750IPM/296-6591-ND/373073?utm_campaign=buynow&utm_medium=aggregator&WT.z_cid=ref_findchips_standard&utm_source=findchips,http://www.ti.com/lit/ds/symlink/tl16c750.pdf,Active,Preferred,,ROHS EXEMPT: 15,Yes - by exemption,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022965,"IC,REALTIMECLOCK, TSSOP",C        ECO-R252636,1,Each,Production,,IC10,,,,,,Part,CBRM,,1,,,true,false,MAXIM_RMS1,DS1305E+,,,,,,https://www.avnet.com/shop/us/products/maxim-integrated/ds1305e-3074457345625294580?CMP=EMA_FindChips_inventoryfeed_VSE,https://datasheet.datasheetarchive.com/originals/dk/DKDS-7/134798.pdf,Active,Alternate,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,IC10,,,,,,,,,,,,true,false,MAXIM_RMS1,DS1305E+T&R,,,,,,https://www.digikey.ca/product-detail/en/maxim-integrated/DS1305E-T-R/DS1305E-T-RCT-ND/4895449?utm_campaign=buynow&utm_medium=aggregator&WT.z_cid=ref_findchips_standard&utm_source=findchips,https://datasheet.datasheetarchive.com/originals/dk/DKDS-7/134798.pdf,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022969,"DOUBLE AMPLIFIER RAIL TO RAIL, SO8",C        ECO-R252636,1,Each,Production,,IC11,,,,,,Part,CBRM,,1,,,true,false,"ANALOG DEVICES, INC.",OP295GSZ-REEL7,,IC OPAMP GP R-R 85KHZ DUAL 8SOIC,,,,https://www.mouser.ca/ProductDetail/Analog-Devices/OP295GSZ-REEL7?utm_term=OP295GSZ-REEL7&qs=WIvQP4zGanhfrX9U%252beH5cg==&utm_campaign=OP295GSZ-REEL7&utm_medium=aggregator&utm_source=findchips&utm_content=Analog-Devices-Inc,https://datasheet.datasheetarchive.com/originals/dk/DKDS-11/218856.pdf,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,IC11,,,,,,,,,,,,true,false,"ANALOG DEVICES, INC.",OP295GSZ,,IC OPAMP DUAL RAIL-RAIL 8SOIC,,,,https://www.chip1stop.com/product/detail?utm_term=OP295GSZ&partId=AD01-0052243&utm_campaign=c1s_findchips_2019&utm_medium=aggregator&cid=AD01-0052243&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022970,"IC,MICROPROCESSOR SUPERVISOR CIRCUIT,SO8",C        ECO-R252636,1,Each,Production,,IC12,,,,,,Part,CBRM,,1,,,true,false,MAXIM_RMS1,MAX690ACSA+T,,,,,,https://uk.farnell.com/maxim-integrated-products/max690acsa-t/mpu-supervisor-5-5v-nsoic-8/dp/2512716?CMP=GRHB-SF-FC,https://datasheet.datasheetarchive.com/originals/dk/DKDS41/DSANUWW0037327.pdf,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,IC12,,,,,,,,,,,,true,false,MAXIM_RMS1,MAX690ACSA+,,MICROPROCESSOR SUPERVISORY CIRCUIT,,,,https://uk.farnell.com/maxim-integrated-products/max690acsa/ic-supervisory-circuit-soic8-690/dp/2519492?CMP=GRHB-SF-FC,https://datasheet.datasheetarchive.com/originals/dk/DKDS41/DSANUWW0037327.pdf,Active,Alternate,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10023251,"MEMORY NAND FLASH, 1G, 2.7 TO 3.6V, BUS X 8,TSOP",E        ECO-R252636,1,Each,Production,,IC13,,,,,,Part,CBRM,,1,,,true,false,SAMSUNG_RMS1,K9F1G08U0C-PIB0T,,,,,,,,Active,Preferred,,ROHS COMPLIANT,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,IC13,,,,,,,,,,,,true,false,SAMSUNG_RMS1,K9F1G08U0C-PCB0T,,,,,,,,,,,,,
,,,,,,,,,,,,,,IC13,,,,,,,,,,,,true,false,SAMSUNG_RMS1,K9F1G08U0C-PCB0T00,,,,,,,,Active,Preferred,,ROHS COMPLIANT,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,IC13,,,,,,,,,,,,true,false,NUMONYX_RMS1,NAND01GW3B2BN6F,,,,,,,,Active,Alternate,,ROHS COMPLIANT,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022705,"IC,16 BIT D TYPE 3STATE OP, LATCHES,SSOP",C        ECO-R252636,1,Each,Production,,IC14,,,,,,Part,CBRM,,1,,,true,false,TEXAS INSTRUMENTS_RMS1,74ACT16373DLR,,,,,,https://www.arrow.com/en/products/74act16373dlr/texas-instruments?utm_term=instock&utm_campaign=arrow_findchips_2019&utm_currency=&utm_medium=aggregator&utm_source=findchips&utm_content=inv_listing,,Active,Preferred,,ROHS EXEMPT: 15,Yes - by exemption,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,IC14,,,,,,,,,,,,true,false,TEXAS INSTRUMENTS_RMS1,74ACT16373DL,,16BIT D TYPE TRANSPARENT LATCHES,,,,https://www.mouser.ca/ProductDetail/Texas-Instruments/74ACT16373DL?utm_term=74ACT16373DL&qs=spW5eSrOWB7a%2F2naVQ7SpA==&utm_campaign=74ACT16373DL&utm_medium=aggregator&utm_source=findchips&utm_content=Texas-Instruments,http://www.ti.com/lit/ds/symlink/74act16373.pdf,Active,Preferred,,ROHS EXEMPT: 15,Yes - by exemption,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022706,"IC AIR FLOW SENSOR,(0-1 LITRE)",A        ECO-R252636,2,Each,Production,,"IC15,IC17",,,,,,Part,CBRM,,1,,,true,false,HONEYWELL_RMS1,AWM3300V,,AIRFLOW SENSOR,,,,https://uk.farnell.com/honeywell/awm3300v/sensor-air-flow-1000sccm-25psi/dp/1470602?CMP=GRHB-SF-FC,https://datasheet.datasheetarchive.com/originals/dk/DKDS-10/193556.pdf,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"IC15,IC17",,,,,,,,,,,,true,false,HONEYWELL_RMS1,FBAL001DU,,AIR FLOW SENSOR,"Acquisition, part# changed see below",,,,,Active,Preferred,,CUSTOMISED,Yes,Legacy Inventory Status: Cleared
