Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,comments,page number on schematic,part added to library?,Link to part,Link to datasheet
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,KEMET_RMS1,C0603C103K5RACTU,,CERAMIC CHIP CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c0603c103k5ractu/multilayer-ceramic-capacitor-c/dp/36X2611?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,CC0603KRX7R9BB103,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022509,"CAPACITOR,220NF,+/-10% ,50V, X7R,1206",C        ECO-R252633,3,Each,Production,,"C10,C13,C16",,,,,,Part,CBRM,,1,,,TRUE,FALSE,KEMET_RMS1,C1206C224K5RACTU,,CERAMIC CHIP CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c1206c224k5ractu/multilayer-ceramic-capacitor-c/dp/36X2808?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,SAMSUNG_RMS1,CL31B224KBFNNNE,,MULTILAYER CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL31B224KBFNNNE/1276-1106-1-ND/3889192?utm_campaign=buynow&utm_medium=aggregator&WT.z_cid=ref_findchips_standard&utm_source=findchips,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,CC1206JKX7R9BB224,,MULTILAYER CERAMIC CAPACITOR,Active,Alternate,,5% TOLERANCE.,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/p/5103586?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,CC1206KKX7R9BB224,,MULTILAYER CERAMIC CAPACITOR,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/cc1206kkx7r9bb224/128741002?utm_term=cc1206kkx7r9bb224&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022510,"CAPACITOR,330NF,+/-10%,16V,0805,X7R",C        ECO-R252633,1,Each,Production,,C18,,,,,,Part,CBRM,,1,,,TRUE,FALSE,YAGEO_RMS1,CC0805JKX7R7BB334,222278015556,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.mouser.ca/ProductDetail/Yageo/CC0805JKX7R7BB334?utm_term=CC0805JKX7R7BB334&qs=7s%252b3O6pAiyDaZQxLGZmmxw==&utm_campaign=CC0805JKX7R7BB334&utm_medium=aggregator&utm_source=findchips&utm_content=Yageo,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,AVX_RMS1,0805YC334KAT2A,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/fr/p/capacitors--ceramic-capacitors--multilayer-ceramic-capacitors/0805yc334kat2a-avx-2812303,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,KEMET_RMS1,C0805C334K4RACTU,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/kemet/c0805c334k4ractu/mlcc-capacitor-0-33uf-16v-x7r/dp/79H0577?CMP=AFC-SF-FC,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,CC0805KKX7R7BB334,222278015656,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/p/8407157?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,YAGEO_RMS1,CC0805KKX7R7BB334,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.33 UF, SURFACE MOUNT, 0805",Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.futureelectronics.com/p/8407157?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,
1,FALSE,TRUE,TRUE,FALSE,FALSE,0,10022514,"DIODE ZENER, 3W-600W,30V,SMB",D        EC103617,7,Each,Production,,"D1,D18,D19,D20,D21,D22,D23",,,,,,Part,CBRM,,1,,,TRUE,FALSE,VISHAY,BZG03C30-HM3-08,,"DIODE, ZENER, 30VZ, 25MA IZ, 3W, SMA, 7"" REEL",Active,Alternate,,,Yes - by exemption,RoHS exemption 7(a),PCB Footprint is SMB!,,,https://www.mouser.ca/ProductDetail/Vishay-Semiconductors/BZG03C30-HM3-08?utm_term=BZG03C30-HM3-08&qs=j%252b1pi9TdxUZncFJWabUyWg==&utm_campaign=BZG03C30-HM3-08&utm_medium=aggregator&utm_source=findchips&utm_content=Vishay,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,VISHAY,BZG03C30-M3-08,,"DIODE, ZENER, 30VZ, 25MA IZ, 3W, SMA, 7"" REEL",Active,Alternate,,,Yes - by exemption,RoHS exemption 7(a),,,,https://www.mouser.ca/ProductDetail/Vishay-Semiconductors/BZG03C30-M3-08?utm_term=BZG03C30-M3-08&qs=j%252b1pi9TdxUYyPhIFzf%252bW1Q==&utm_campaign=BZG03C30-M3-08&utm_medium=aggregator&utm_source=findchips&utm_content=Vishay,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,VISHAY,BZG03C30-HM3-18,,"DIODE, ZENER, 30VZ, 25MA IZ, 3W, SMA, 18"" REEL",Active,Alternate,,,Yes - by exemption,RoHS exemption 7(a),,,,https://www.mouser.ca/ProductDetail/Vishay-Semiconductors/BZG03C30-HM3-18?utm_term=BZG03C30-HM3-18&qs=j%252b1pi9TdxUYMq7TvoJRLeg==&utm_campaign=BZG03C30-HM3-18&utm_medium=aggregator&utm_source=findchips&utm_content=Vishay,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,VISHAY_RMS1,BZG03C30TR3,,"DIODE, ZENER, 30VZ, 25MA IZ, 3W, SMA",Active,Alternate,,,Yes - by exemption,RoHS exemption 7(a),,,,https://www.alliedelec.com/product/siliconix-vishay/bzg03c30tr3/70616651/?utm_source=findchips&utm_medium=part_sourcing&utm_campaign=partsourcing_findchips,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,VISHAY_RMS1,BZG03C30TR,,"DIODE, ZENER, 30VZ, 25MA IZ, 3W, SMA",Active,Preferred,,,Yes - by exemption,RoHS exemption 7(a),,,,https://parts.com-sit.com/findchips?part=BZG03C30TR&utm_medium=SubmitRfq&utm_source=findChips,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf
