Item Number,Item Description,Ref Des,Mfr. Name,Mfr. Part Number,Mfr. Part Description
10023237,"RESISTOR, 150 OHM, 0805, +/-5%",R16,YAGEO_RMS1,232273061151,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 100 PPM, 150 OHM, SURFACE MOUNT, 0805"
,,,YAGEO_RMS1,232273061151L,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 100 PPM, 150 OHM, SURFACE MOUNT, 0805"
,,,ASJ,CR21-151JL,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,RC0805JR-07150RL,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 100 PPM, 150 OHM, SURFACE MOUNT, 0805"
10023238,"RESISTOR, 15K OHM, 0603, +/-1%","R17,R40",ASJ,CR16153FL,
,,,VISHAY_RMS1,CRCW060315K0FKEA,THICK FILM RECTANGULAR CHIP RESISTOR
,,,YAGEO_RMS1,232270461503L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 15000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,RC0603FR-0715KL,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 15000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270461503,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 15000 OHM, SURFACE MOUNT, 0603"
10023239,"RESISTOR, 75K OHM, 0603, +/-1%","R19,R36",MULTICOMP                       (920630),MC 0.063W 0603 1% 75K,THICK FILM CHIP RESISTOR
10023240,"RESISTOR, 180 OHM, 0805, +/-5%","R22,R23,R31,R35,R44",YAGEO_RMS1,232273061181,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 100 PPM, 180 OHM, SURFACE MOUNT, 0805"
,,,KOA SPEER,RK73B2ATTD181J,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,232273061181L,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 100 PPM, 180 OHM, SURFACE MOUNT, 0805"
,,,YAGEO_RMS1,RC0805JR-07180RL,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 100 PPM, 180 OHM, SURFACE MOUNT, 0805"
10023242,"RESISTOR 10 OHM, 0.125W, +/-5%,0805",R52,YAGEO_RMS1,RC0805JR-0710RL,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 200 PPM, 10 OHM, SURFACE MOUNT, 0805"
,,,KOA SPEER,RK73B2ATTD100J,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,232273061109L,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 200 PPM, 10 OHM, SURFACE MOUNT, 0805"
,,,YAGEO_RMS1,232273061109,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 5 %, 200 PPM, 10 OHM, SURFACE MOUNT, 0805"
10023243,"RSP TRANSISTOR, BIPOLAR, PNP, 100V, 5A, SOT223","T10,T11,T12",ZETEX,FZT953,60 TO 100V PNP TRANSISTOR
,,,ZETEX,FZT953TA,TRANSISTOR
10023244,"BUZZER, 12V, 30MA, 85DB",BUZ1,STAR MICRONICS INC.,HMB-12,MAGNETIC BUZZER
10023250,CRYSTAL QUARTZ 32.768KHZ,Q5,IQD,LFXTAL003000REEL,CRYSTAL QUARTZ 32.768KHZ
10023251,"MEMORY NAND FLASH, 1G, 2.7 TO 3.6V, BUS X 8,TSOP",IC13,SAMSUNG_RMS1,K9F1G08U0C-PIB0T,
,,,SAMSUNG_RMS1,K9F1G08U0C-PCB0T00,
,,,SAMSUNG_RMS1,K9F1G08U0C-PCB0T,
,,,NUMONYX_RMS1,NAND01GW3B2BN6F,
10023252,"RELAY,LOW VOLTAGE 1A COIL 5VDC",RL1,OMRON ELECTRONICS INC,G6K-2G-TR 5 VDC,
,,,OMRON ELECTRONICS INC,G6K-2G 5 VDC,
10023253,"RESISTOR ARRAY, 6.8K OHM, +/-5%, 1206","RS1,RS3,RS4,RS5,RS6,RS8",BI TECHNOLOGIES CORPORATION,BCN164AB682J7,RESISTOR ARRAY
,,,YAGEO_RMS1,TC164-JR-076K8L,"RESISTOR, NETWORK, FILM, ISOLATED, 0.0625 W, SURFACE MOUNT"
,,,YAGEO_RMS1,235003410682,"RESISTOR, NETWORK, FILM, ISOLATED, SURFACE MOUNT"
,,,BOURNS_RMS1,CAY16-682J4LF,CHIP RESISTOR ARRAY
,,,YAGEO_RMS1,235003410682L,"RESISTOR, NETWORK, FILM, ISOLATED, 0.0625 W, SURFACE MOUNT"
10023254,"RSP RESISTOR ARRAY, 15K OHM,+/-5%, 1206","RS2,RS7",BOURNS_RMS1,CAY16-153J4LF,CHIP RESISTOR ARRAY
,,,YAGEO_RMS1,235003510153L,"RESISTOR, NETWORK, FILM, ISOLATED, 0.0625 W, SURFACE MOUNT"
,,,YAGEO_RMS1,235003510153,"RESISTOR, NETWORK, FILM, ISOLATED, SURFACE MOUNT"
,,,BI TECHNOLOGIES CORPORATION,BCN164AB153J7,CHIP RESISTOR ARRAY
,,,YAGEO_RMS1,YC164-JR-0715KL,"RESISTOR, NETWORK, FILM, ISOLATED, 0.0625 W, SURFACE MOUNT"
10023291,"CRYSTAL, QUARTZ, 3.6864MHZ",Q2,IQD,LFXTAL003260REEL,
10023295,FLAT FERRITE CORE,FER1,WURTH ELEKTRONIK GMBH,7427221,FLAT FERRITE CORE
10025112,"3 WAY, PROPORTIONAL VALVE",V2,FAS,S142.0048A,3 WAY PROPORTIONAL VALVE
10052329,"HEADER CONNECTOR, RIGHT ANGLE, 10 PINS",J4,FCI/BERG,75867-101LF,
,,,FCI/BERG,88874-010LF,
10052331,"HEADER CONNECTOR, RIGHT ANGLE, 26 PINS",J7,FCI/BERG,75867-105LF,
,,,FCI/BERG,88874-026LF,
10095973,"CAPACITOR ARRAY, 47PF, 50V, +/-10%,NPO,0612","C14,C17,C18,C38,C41,C52,C55,C56,C58,C100,C111",YAGEO_RMS1,225514611532,"ISOLATED C NETWORK, 50V, C0G, 0.000047UF, SURFACE MOUNT, CHIP-8"
10095983,"RESISTOR, 22 K OHM,0.063W, +/-1%,0603",R46,YAGEO_RMS1,RC0603FR-0722KL,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 22000 OHM, SURFACE MOUNT, 0603"
,,,ASJ,CR16-2202FL,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,232270462203L*,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 22000 OHM, SURFACE MOUNT, 0603"
10097252,"CAPACITOR ELECTROLYTIC, 1000UF,35V,+/-20%",C88,"ILLINOIS CAPACITOR, INC.",108TTA035M,
,,,MULTICOMP                       (920630),MCLV102M1VB-1327-RH,
10097253,"DIODE SCHOTTKY, 40V, 1A","D6,D7,D15,D16",DIODES INC_RMS1,1N5819HW-7-F,SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER
10097255,"STATIC RAM, 256K X 16 BIT, TSOP2",IC3,SAMSUNG_RMS1,K6R4016C1D-UI10T,ASYNC FAST SRAM
10097256,"CONNECTOR, 22 CONTACTS",J1,MOLEX_RMS1,0526102272,CONNECTOR
,,,MOLEX_RMS1,0526102271,CONNECTOR
10097257,"CONNECTOR, 8 CONTACTS",J2,J.S.T. CORPORATION,B8B-ZR-SM4-TF (LF)(SN),CONNECTOR
10097259,"CONNECTOR, SPO2, 12 CONTACTS",J3,J.S.T. CORPORATION,B12B-ZR-SM4-TF (LF)(SN),CONNECTOR
10097260,"CONNECTOR, TEMPERATURE MEASURE, 2 CONTACTS","J5,J19",J.S.T. CORPORATION,B2B-ZR-SM4-TF (LF)(SN),CONNECTOR
10097262,"CONNECTOR,FIO2, 3 CONTACTS",J11,J.S.T. CORPORATION,B3B-ZR-SM4-TF (LF)(SN),ZH CONNECTOR
10097263,"CONNECTOR, 40 CONTACTS",J17,TYCO ELECTRONICS,5177983-1,0.8MM FREE HEIGHT CONNECTOR
,,,TYCO ELECTRONICS,5177985-1,
10097265,"CONNECTOR, BUZZER CARD, 7 CONTACTS",J18,J.S.T. CORPORATION,B7B-ZR-SM4-TF (LF)(SN),ZH CONNECTOR
10097266,"RESISTOR,10K OHM, 0.063W,+/-5%,0603","R5,R6,R28,R29,R32,R43,R53,R54,R62,R70",YAGEO_RMS1,232270260103L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 10000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270260103,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 10000 OHM, SURFACE MOUNT, 0603"
,,,VISHAY_RMS1,CRCW060310K0JNEA,THICK FILM RECTANGULAR CHIP RESISTOR
,,,ASJ,CR16-103JL,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,RC0603JR-0710KL,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 10000 OHM, SURFACE MOUNT, 0603"
10097268,"RESISTOR, 10.5K OHM, 0603, +/-0.1%",R15,SUSUMU CO.,RG1608P-1052-B-T5,
,,,WELWYN,PCF0603R-10K5BI,PRECISION SURFACE MOUNT RESISTOR
10097270,"RESISTOR,1.37K OHM,0.063W,+/-0.1%,0603",R57,SUSUMU CO.,RG1608P-1371-B-T5,
,,,TYCO ELECTRONICS,3-1879219-4,THIN FILM PRECISION CHIP RESISTOR
,,,TYCO ELECTRONICS,CPF0603B-1K37E,THIN FILM PRECISION CHIP RESISTOR
,,,VISHAY_RMS1,TNPW06031K37BEEA,PRECISION CHIP RESISTOR
,,,WELWYN,PCF0603R-1K37BI,PRECISION SURFACE MOUNT RESISTOR
10097271,"RESISTOR, 100K OHM, 0.063W,+/-0.1%,0603",R58,SUSUMU CO.,RG1608P-104-B-T5,RES SMD 100K OHM 0.1% 1/10W 0603
,,,WELWYN,PCF0603R-100KBI,LOW VALUE FLAT CHIP RESISTOR
,,,YAGEO_RMS1,RT0603BRD07100KL,"RESISTOR, THIN FILM, 0.1 W, 0.1 %, 25 PPM, 100000 OHM, SURFACE MOUNT, 0603"
10097272,"RESISTOR, PRECISION,10K OHM, 0.063W,+/-0.1%,0603",R71,SUSUMU CO,RG1608P-103-B-T5,RES 10.0K OHM 1/10W .1% 0603 SMD
,,,WELWYN,PCF0603R-10KBI,PRECISION SURFACE MOUNT RESISTOR
,,,YAGEO_RMS1,RT0603BRB0710K,
,,,YAGEO_RMS1,RT0603BRB0710KL,
10097273,"RESISTOR,PRECISION, 3.24K OHM, 0.063W,+/-0.1%,0603",R73,SUSUMU CO,RG1608P-3241-B-T5,
,,,WELWYN,PCF0603R-3K24BI,PRECISION SURFACE MOUNT RESISTOR
,,,WELWYN,PCF0603R-3K24BT1,PRECISION SURFACE MOUNT RESISTOR
,,,YAGEO_RMS1,RT0603BRD073K24L,
10097274,"TRANSISTOR MOSFET N CHANNEL 60V, 0.18A","T1,T2,T4,T5,T6,T8,T9,T14,T21",ON SEMICONDUCTOR_RMS1,2N7002LT1G,SMALL SIGNAL MOSFET
,,,NXP SEMICONDUCTORS_RMS1,"2N7002,215",
,,,NXP SEMICONDUCTORS_RMS1,2N7002,N-CHANNEL TRENCHMOS FET
10099516,LARGE CYLINDRICAL HEAD DOMED 6 LOBES INTERNAL STAINLESS M3X5,,BOSSARD,3061604,
10099517,"SCREW,LG CYLNDRL HEAD DOMED,6 LOBES,STNLS,M3*8",,BOSSARD,1983385,
10099518,"WASHER, NFE 25513, 3X6",,BOSSARD,8026807,
10099519,"SCREW,LG CYLNDRL HEAD DOMED,6 LOBES,STNLS,M2,5*8",,BOSSARD,3108703,
10099520,"STAINLESS STEEL HEXAGONAL NUT, M2.5",,BOSSARD,1241427,
10099521,"TOOTH LOCK WASHER, DEC 2.5",,BOSSARD,1228919,
10103067,"TAMPER PROOF VARNISH, ROHS",,LOCTITE (HENKEL CORPORATION),7400,
10125623,SCHEMATIC DIAGRAM CPU CARD,,,,
4096600.M00.002,EMC CASING - CASE 2 PRESSURE SENSORS,BL2,"SUZHOU ACE SHEET MATEL MANUFACTURING CO., LTD",4096600.M00.002,EMC CASING - CASE 2 PRESSURE SENSORS (CUSTOM PART)
4096600.M00.003,EMC CASING - CASE 3 PRESSURE SENSORS,BL4,"SUZHOU ACE SHEET MATEL MANUFACTURING CO., LTD",4096600.M00.003,EMC CASING - CASE 3 PRESSURE SENSORS (CUSTOM PART)
4096600.M00.023,"EMC,FLOW SENSOR HOUSING,IC15 & IC17","BL1,BL3","SUZHOU ACE SHEET MATEL MANUFACTURING CO., LTD",4096600.M00.023,"EMC,FLOW SENSOR HOUSING,IC15 & IC17 (CUSTOM PART)"
GR106772,"PRINTED CIRCUIT, CPU BOARD RB0505",,TTM,GR106772,
10025113,"DOUBLE SIDED TAPE, ADHESIVE, 0.01M",,3M_RMS1,VHB4910-33X19,ACRYLIC FOAM TAPE
10023293,PLASTIC SPACER 2M3 LG8,,SKIFFY LTD,302 3080 599 35,HEXAGONAL SPACER
,,,RICHCO INC._RMS1,HTSN-M3-8-6-1,PLASTIC SPACER 2M3 LG8
10023294,"PLASTIC SPACER, 2 M3 LG12",,SKIFFY LTD,302 3120 599 35,HEXAGONAL SPACER
,,,"RICHCO, INC.",HTSN-M3-12-6-1,PLASTIC SPACER
10022161,ADHESIVE,,3M_RMS1,7838 B/A,STRUCTURAL ADHESIVE
3838600,PC BOARD TRACABILITY LABEL,,BRADY_RMS1,3838600-H,"B-727 LABEL, POLYIMIDE, GLOSSY WHITE THERMAL TRANSFER PRINTABLE LABEL STOCK"
10022885,COIN CELL BATTERY RETAINER,,KEYSTONE ELECTRONICS CORP,3000,LITHIUM COIN CELL BATTERY RETAINER
3821600,DISPLAY ASSEMBLY,,CLAIRITEC,3821600,DISPLAY ASSEMBLY (CUSTOM PART)
10029086,"LOW STATIC POLYIMIDE FILM TAPE, REF: 5419",,3M_RMS1,5419,
