Item Number,Item Description,Ref Des,Mfr. Name,Mfr. Part Number,Mfr. Part Description
,,,YAGEO_RMS1,232270260472L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 4700 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,RC0603JR-074K7L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 4700 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270260472,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 4700 OHM, SURFACE MOUNT, 0603"
10022622,"CAPACITOR ELECTROLYTIC, 220UF,16V+/-20%",C106,PANASONIC_RMS1,EEEFK1C221P,ALUMINUM ELETROLYTIC CAPACITORS/FK
,,,"ELNA AMERICA, INC.",RVD-16V221MG68U-R,
,,,"ELNA AMERICA, INC.",RVZ-16V221MG68U,"CHIP TYPE, LOW IMPEDANCE CAP."
10022623,"CAPACITOR,47 PF,+/-5%,50V,0402","C12,C13,C15,C86",SAMSUNG_RMS1,CL05C470JB5NNNC,CAP CER 47PF 50V 5% NP0 0402
,,,KEMET_RMS1,C0402C470J5GACTU,"CAP,CER,SMT,0402,5%,50V,47PF"
,,,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H470JZ01D,MONOLITHIC CERAMIC CAPACITOR
,,,KEMET_RMS1,C0402C470J5GAC,"CAP,CER,SMT,0402,5%,50V,47PF"
,,,"MURATA MANUFACTURING CO., LTD.",GRM1555C1H470JA01D,CAP CER 47PF 50V 5% NP0 0402
10022632,"CAPACITOR CERAMIC,22PF,+/-5%,50V,0603","C1,C3,C16",SAMSUNG_RMS1,CL10C220JB8NNNC,MULTILAYER CERAMIC CAPACITOR
,,,YAGEO_RMS1,CC0603JRNPO9BN220,CAP CER 22PF 50V C0G 5% 0603
,,,YAGEO_RMS1,223886715229,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, C0G, 0.000022 UF, SURFACE MOUNT, 0603"
10022652,"DIODE SCHOTTKY, 30V, 200MA","D9,D10,D13",NXP SEMICONDUCTORS_RMS1,"BAT54,215",
,,,NXP SEMICONDUCTORS_RMS1,BAT54,SCHOTTKY BARRIER DOUBLE DIODE
10022653,"DIODE SCHOTTKY DOUBLE,30V, 200MA,SOT23",D14,NXP SEMICONDUCTORS_RMS1,"BAT54C,215",
,,,NXP SEMICONDUCTORS_RMS1,BAT54C,SCHOTTKY BARRIER DOUBLE DIODE
10022654,"DIODE TRANSIENT 600W,36V",D4,LITTLEFUSE,1SMB36AT3G,ZENER TRANSIENT VOLTAGE SUPPRESSORS
,,,ON SEMICONDUCTOR_RMS1,1SMB36AT3G,ZENER TRANSIENT VOLTAGE SUPPRESSORS
,,,LITTLEFUSE,SZ1SMB36AT3G,ZENER TRANSIENT VOLTAGE SUPPRESSORS
10022655,"DIODE ZENER, 0.35W,4.7V",D8,NXP SEMICONDUCTORS_RMS1,BZX84-C4V7,VOLTAGE REGULATOR DIODE
,,,NXP SEMICONDUCTORS_RMS1,"BZX84-C4V7,215",
10022656,"DIODE SCHOTTKY, 3A, 40V",D11,STMICROELECTRONICS,STPS340U,POWER SCHOTTKY RECTIFIER
10022697,"RESISTOR,470 OHM, 0.125W,+/-1%, 0805","R66,R67",YAGEO_RMS1,232273464701L,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 1 %, 100 PPM, 470 OHM, SURFACE MOUNT, 0805"
,,,VISHAY_RMS1,CRCW0805470RFKEA,THICK FILM RECTANGULAR CHIP RESISTOR
,,,YAGEO_RMS1,232273464701,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 1 %, 100 PPM, 470 OHM, SURFACE MOUNT, 0805"
,,,YAGEO_RMS1,RC0805FR-07470RL,"RESISTOR, METAL GLAZE/THICK FILM, 0.125 W, 1 %, 100 PPM, 470 OHM, SURFACE MOUNT, 0805"
,,,ASJ,CR21-4700FL,THICK FILM CHIP RESISTOR
10022700,"RESISTOR,1.5K OHM,0.063W,+/-1%,0603",R18,YAGEO_RMS1,232270461502,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 1500 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270461502L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 1500 OHM, SURFACE MOUNT, 0603"
,,,KOA SPEER,RK73H1JTTD1501F,THICK FILM CHIP RESISTOR
,,,YAGEO_RMS1,RC0603FR-071K5L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 1500 OHM, SURFACE MOUNT, 0603"
10022703,"FUSE, 500MA",FU2,LITTELFUSE_RMS1,0154.500DRT,VERY FAST ACTING FUSE
10022705,"IC,16 BIT D TYPE 3STATE OP, LATCHES,SSOP",IC14,TEXAS INSTRUMENTS_RMS1,74ACT16373DLR,
,,,TEXAS INSTRUMENTS_RMS1,74ACT16373DL,16BIT D TYPE TRANSPARENT LATCHES
10022706,"IC AIR FLOW SENSOR,(0-1 LITRE)","IC15,IC17",HONEYWELL_RMS1,AWM3300V,AIRFLOW SENSOR
,,,HONEYWELL_RMS1,FBAL001DU,AIR FLOW SENSOR
10022731,"RESISTOR,3.3K OHM,0.063W,+/-1%,0603",R11,YAGEO_RMS1,RC0603FR-073K3L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 3300 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270463302,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 3300 OHM, SURFACE MOUNT, 0603"
,,,BOURNS_RMS1,CR0603-FX-3301ELF,CHIP RESISTOR
,,,YAGEO_RMS1,232270463302L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 3300 OHM, SURFACE MOUNT, 0603"
